ts,node,srx,stx,etx,erx
572,6,2,2,21,22
572,7,3,3,23,23
572,8,2,2,22,22
581,0,7,7,25,47
581,1,6,6,22,26
581,2,2,2,21,22
581,3,5,5,22,25
581,4,2,2,21,22
581,5,2,2,22,22
581,6,2,2,21,22
581,7,3,3,23,23
581,8,2,2,22,22
598,0,7,7,25,47
598,1,6,6,22,26
598,2,2,2,21,22
598,3,5,5,22,25
598,4,2,2,21,22
598,5,2,2,22,22
598,6,2,2,21,22
598,7,3,3,23,23
598,8,3,3,23,23
611,0,7,7,25,47
611,1,6,6,22,26
611,2,2,2,21,22
611,3,5,5,22,25
611,4,2,2,21,22
611,5,2,2,22,22
611,6,3,3,23,23
611,7,3,3,23,23
611,8,3,3,23,23
614,0,7,7,25,47
614,1,6,6,22,26
614,2,2,2,21,22
614,3,5,5,23,25
614,4,2,2,21,22
614,5,2,2,22,22
614,6,3,3,23,23
614,7,3,3,23,23
614,8,3,3,23,23
636,0,7,7,25,47
636,1,8,8,22,28
636,2,2,2,21,22
636,3,5,5,23,25
636,4,2,2,21,22
636,5,2,2,22,22
636,6,3,3,23,23
636,7,3,3,23,23
636,8,3,3,23,23
656,0,7,7,25,47
656,1,8,8,22,28
656,2,2,2,21,22
656,3,5,5,23,25
656,4,2,2,21,22
656,5,3,3,23,23
656,6,3,3,23,23
656,7,3,3,23,23
656,8,3,3,23,23
664,0,7,7,25,47
664,1,8,8,22,28
664,2,2,2,21,22
664,3,5,5,23,25
664,4,3,3,23,23
664,5,3,3,23,23
664,6,3,3,23,23
664,7,3,3,23,23
664,8,3,3,23,23
699,0,7,7,25,47
699,1,8,8,22,28
699,2,4,4,23,24
699,3,5,5,23,25
699,4,3,3,23,23
699,5,3,3,23,23
699,6,3,3,23,23
699,7,3,3,23,23
699,8,3,3,23,23
709,0,7,7,25,47
709,1,8,8,22,28
709,2,4,4,23,24
709,3,5,5,23,25
709,4,3,3,23,23
709,5,3,3,23,23
709,6,3,3,23,23
709,7,3,3,23,23
709,8,4,4,24,24
711,0,7,7,25,47
711,1,8,8,22,28
711,2,4,4,23,24
711,3,5,5,23,25
711,4,4,4,23,24
711,5,3,3,23,23
711,6,3,3,23,23
711,7,3,3,23,23
711,8,4,4,24,24
714,0,7,7,25,47
714,1,8,8,22,28
714,2,4,4,23,24
714,3,5,5,23,25
714,4,4,4,23,24
714,5,4,4,24,24
714,6,3,3,23,23
714,7,3,3,23,23
714,8,4,4,24,24
753,0,7,7,25,47
753,1,8,8,22,28
753,2,4,4,23,24
753,3,5,5,23,25
753,4,4,4,23,24
753,5,4,4,24,24
753,6,5,5,23,25
753,7,3,3,23,23
753,8,4,4,24,24
756,0,7,7,25,47
756,1,8,8,22,28
756,2,4,4,23,24
756,3,5,5,23,25
756,4,5,5,23,25
756,5,4,4,24,24
756,6,5,5,23,25
756,7,3,3,23,23
756,8,4,4,24,24
785,0,7,7,25,47
785,1,8,8,22,28
785,2,4,4,23,24
785,3,5,5,23,25
785,4,5,5,23,25
785,5,4,4,24,24
785,6,5,5,23,25
785,7,4,4,24,24
785,8,4,4,24,24
810,0,7,7,25,47
810,1,8,8,22,28
810,2,4,4,24,24
810,3,5,5,23,25
810,4,5,5,23,25
810,5,4,4,24,24
810,6,5,5,23,25
810,7,4,4,24,24
810,8,4,4,24,24
811,0,7,7,25,47
811,1,8,8,22,28
811,2,4,4,24,24
811,3,5,5,23,25
811,4,6,6,24,26
811,5,4,4,24,24
811,6,5,5,23,25
811,7,4,4,24,24
811,8,4,4,24,24
823,0,7,7,25,47
823,1,8,8,22,28
823,2,4,4,24,24
823,3,5,5,23,25
823,4,6,6,24,26
823,5,4,4,24,24
823,6,5,5,23,25
823,7,5,5,25,25
823,8,4,4,24,24
824,0,7,7,25,47
824,1,8,8,22,28
824,2,4,4,24,24
824,3,5,5,23,25
824,4,6,6,24,26
824,5,5,5,25,25
824,6,5,5,23,25
824,7,5,5,25,25
824,8,4,4,24,24
831,0,7,7,25,47
831,1,8,8,22,28
831,2,4,4,24,24
831,3,5,5,23,25
831,4,6,6,25,26
831,5,5,5,25,25
831,6,5,5,23,25
831,7,5,5,25,25
831,8,4,4,24,24
845,0,7,7,25,47
845,1,8,8,22,28
845,2,4,4,24,24
845,3,5,5,23,25
845,4,6,6,25,26
845,5,5,5,25,25
845,6,5,5,23,25
845,7,5,5,25,25
845,8,5,5,25,25
903,0,7,7,25,47
903,1,8,8,22,28
903,2,4,4,24,24
903,3,5,5,23,25
903,4,6,6,25,26
903,5,5,5,25,25
903,6,5,5,23,25
903,7,5,5,25,25
903,8,6,6,26,26
930,0,7,7,25,47
930,1,8,8,22,28
930,2,4,4,24,24
930,3,5,5,23,25
930,4,6,6,25,26
930,5,6,6,26,26
930,6,5,5,23,25
930,7,5,5,25,25
930,8,6,6,26,26
957,0,7,7,25,47
957,1,8,8,24,28
957,2,4,4,24,24
957,3,5,5,23,25
957,4,6,6,25,26
957,5,6,6,26,26
957,6,5,5,23,25
957,7,5,5,25,25
957,8,6,6,26,26
963,0,7,7,25,47
963,1,8,8,24,28
963,2,4,4,24,24
963,3,5,5,23,25
963,4,6,6,25,26
963,5,6,6,26,26
963,6,5,5,23,25
963,7,5,5,25,25
963,8,7,7,27,27
968,0,7,7,25,47
968,1,8,8,24,28
968,2,4,4,24,24
968,3,5,5,23,25
968,4,6,6,25,26
968,5,6,6,26,26
968,6,5,5,23,25
968,7,7,7,27,27
968,8,7,7,27,27
976,0,7,7,25,47
976,1,8,8,24,28
976,2,4,4,24,24
976,3,5,5,23,25
976,4,8,8,27,28
976,5,6,6,26,26
976,6,5,5,23,25
976,7,7,7,27,27
976,8,7,7,27,27
981,0,13,13,28,53
981,1,8,8,24,28
981,2,4,4,24,24
981,3,5,5,23,25
981,4,8,8,27,28
981,5,6,6,26,26
981,6,5,5,23,25
981,7,7,7,27,27
981,8,7,7,27,27
983,0,13,13,28,53
983,1,8,8,24,28
983,2,4,4,24,24
983,3,5,5,23,25
983,4,8,8,27,28
983,5,7,7,27,27
983,6,5,5,23,25
983,7,7,7,27,27
983,8,7,7,27,27
991,0,13,13,28,53
991,1,8,8,24,28
991,2,4,4,24,24
991,3,6,6,25,26
991,4,8,8,27,28
991,5,7,7,27,27
991,6,5,5,23,25
991,7,7,7,27,27
991,8,7,7,27,27
998,0,13,13,28,53
998,1,8,8,28,28
998,2,4,4,24,24
998,3,6,6,25,26
998,4,8,8,27,28
998,5,7,7,27,27
998,6,5,5,23,25
998,7,7,7,27,27
998,8,7,7,27,27
1025,0,13,13,28,53
1025,1,8,8,28,28
1025,2,4,4,24,24
1025,3,7,7,25,27
1025,4,8,8,27,28
1025,5,7,7,27,27
1025,6,5,5,23,25
1025,7,7,7,27,27
1025,8,7,7,27,27
1039,0,13,13,28,53
1039,1,8,8,28,28
1039,2,4,4,24,24
1039,3,8,8,28,28
1039,4,8,8,27,28
1039,5,7,7,27,27
1039,6,5,5,23,25
1039,7,7,7,27,27
1039,8,7,7,27,27
1053,0,13,13,28,53
1053,1,8,8,28,28
1053,2,4,4,24,24
1053,3,8,8,28,28
1053,4,8,8,27,28
1053,5,7,7,27,27
1053,6,5,5,23,25
1053,7,8,8,28,28
1053,8,7,7,27,27
1054,0,13,13,28,53
