sensitivity,compressionRatio,priorityError
0,0.474891,0
1000,0.487397,0.000625734
2000,0.489918,0.00138517
3000,0.491178,0.0019067
4000,0.492487,0.00301667
5000,0.493117,0.00391122
6000,0.493553,0.00460065
7000,0.493989,0.00599796
8000,0.494183,0.00623536
9000,0.494523,0.00804224
10000,0.494789,0.00810209
11000,0.494886,0.00851123
12000,0.49554,0.0118113
13000,0.496001,0.0128348
14000,0.495977,0.0132524
15000,0.496413,0.0169414
16000,0.496922,0.0178779
17000,0.496946,0.0183828
18000,0.49731,0.0198241
19000,0.497455,0.021313
20000,0.497601,0.0223537
21000,0.497746,0.0220885
22000,0.497819,0.0227131
23000,0.497746,0.0261276
24000,0.498037,0.025652
25000,0.498037,0.025652
26000,0.498328,0.0265228
27000,0.498328,0.0268786
28000,0.4984,0.0275608
29000,0.4984,0.0274856
