sensitivity,compressionRatio,pfError
0,0.500416,0
0.01,0.500416,0
0.02,0.500416,0
0.03,0.500416,0
0.04,0.500416,0
0.05,0.500416,0
0.06,0.500416,0
0.07,0.500416,0
0.08,0.500416,0
0.09,0.500416,0
0.1,0.500416,0
0.11,0.500416,0
0.12,0.500416,0
0.13,0.500416,0
0.14,0.500416,0
0.15,0.500416,0
0.16,0.500416,0
0.17,0.500416,0
0.18,0.500416,0
0.19,0.500416,0
0.2,0.500416,0
0.21,0.500416,0
0.22,0.500416,0
0.23,0.500416,0
0.24,0.500416,0
0.25,0.500416,0
0.26,0.500416,0
0.27,0.500416,0
0.28,0.500416,0
0.29,0.500416,0
0.3,0.500416,0
0.31,0.500416,0
0.32,0.500416,0
0.33,0.500416,0
0.34,0.500416,0
0.35,0.500416,0
0.36,0.500416,0
0.37,0.500416,0
0.38,0.500416,0
0.39,0.500416,0
0.4,0.500416,0
0.41,0.500416,0
0.42,0.500416,0
0.43,0.500416,0
0.44,0.500416,0
0.45,0.500416,0
0.46,0.500416,0
0.47,0.500416,0
0.48,0.500416,0
0.49,0.500416,0
0,0.874477,0
0.01,0.874477,0
0.02,0.874477,0
0.03,0.874477,0
0.04,0.874477,0
0.05,0.874477,0
0.06,0.874477,0
0.07,0.874477,0
0.08,0.874477,0
0.09,0.874477,0
0.1,0.874477,0
0.11,0.874477,0
0.12,0.874477,0
0.13,0.874477,0
0.14,0.874477,0
0.15,0.874477,0
0.16,0.874477,0
0.17,0.874477,0
0.18,0.874477,0
0.19,0.874477,0
0.2,0.874477,0
0.21,0.874477,0
0.22,0.874477,0
0.23,0.874477,0
0.24,0.874477,0
0.25,0.874477,0
0.26,0.874477,0
0.27,0.874477,0
0.28,0.874477,0
0.29,0.874477,0
0.3,0.874477,0
0.31,0.874477,0
0.32,0.874477,0
0.33,0.874477,0
0.34,0.874477,0
0.35,0.874477,0
0.36,0.874477,0
0.37,0.874477,0
0.38,0.874477,0
0.39,0.874477,0
0.4,0.874477,0
0.41,0.874477,0
0.42,0.874477,0
0.43,0.874477,0
0.44,0.874477,0
0.45,0.874477,0
0.46,0.874477,0
0.47,0.874477,0
0.48,0.874477,0
0.49,0.874477,0
0,0.769,8.4446e-09
0.01,0.777019,0.00148264
0.02,0.778571,0.00676654
0.03,0.779088,0.00992745
0.04,0.779605,0.0121417
0.05,0.779778,0.01446
0.06,0.779864,0.0202548
0.07,0.780122,0.0230391
0.08,0.780122,0.0261227
0.09,0.780209,0.0311778
0.1,0.780209,0.0324667
0.11,0.780209,0.0381552
0.12,0.780381,0.0531782
0.13,0.78064,0.0563255
0.14,0.78064,0.0712965
0.15,0.78064,0.0682234
0.16,0.78064,0.0682234
0.17,0.78064,0.0673754
0.18,0.78064,0.0663782
0.19,0.780812,0.0581265
0.2,0.780812,0.0581265
0.21,0.780812,0.0581265
0.22,0.780812,0.0581265
0.23,0.780812,0.058937
0.24,0.780812,0.0810029
0.25,0.780812,0.100745
0.26,0.780812,0.0983869
0.27,0.780812,0.103789
0.28,0.780812,0.10316
0.29,0.780812,0.100119
0.3,0.780985,0.0919546
0.31,0.780985,0.0919546
0.32,0.780985,0.0919546
0.33,0.780985,0.0919546
0.34,0.780985,0.0919546
0.35,0.780985,0.0919546
0.36,0.780985,0.0919667
0.37,0.780898,0.0756682
0.38,0.780985,0.0809601
0.39,0.780985,0.0809601
0.4,0.780985,0.0809601
0.41,0.780985,0.0809601
0.42,0.780985,0.0809601
0.43,0.780985,0.0809601
0.44,0.780985,0.0809601
0.45,0.780985,0.0809601
0.46,0.780985,0.0809601
0.47,0.780985,0.0809601
0.48,0.780985,0.0831917
0.49,0.780985,0.13179
