sensitivity,compressionRatio,priorityError
0,0.177632,0
1000,0.263158,0.000309442
2000,0.285088,0.000631903
3000,0.307018,0.00114101
4000,0.328947,0.00189893
5000,0.337719,0.00601892
6000,0.342105,0.00617166
7000,0.355263,0.0083542
8000,0.357456,0.00919687
9000,0.366228,0.00950273
10000,0.379386,0.011114
11000,0.381579,0.0161735
12000,0.392544,0.0185386
13000,0.39693,0.0189201
14000,0.412281,0.0205269
15000,0.416667,0.0212818
16000,0.407895,0.0203833
17000,0.407895,0.0203833
18000,0.407895,0.0207597
19000,0.407895,0.0207597
20000,0.407895,0.0211118
21000,0.407895,0.0211118
22000,0.407895,0.0211118
23000,0.421053,0.0240949
24000,0.421053,0.0279098
25000,0.421053,0.0279098
26000,0.440789,0.0443234
27000,0.434211,0.0267332
28000,0.434211,0.0286334
29000,0.440789,0.0314312
