sensitivity,compressionRatio,priorityError
0,0.484826,0
1000,0.488663,0.000311304
2000,0.490734,0.00086736
3000,0.491655,0.00137222
4000,0.492806,0.00191652
5000,0.49342,0.00222371
6000,0.493861,0.0028154
7000,0.494053,0.00311563
8000,0.494322,0.00349642
9000,0.494514,0.00381903
10000,0.494782,0.00408031
11000,0.494993,0.00447645
12000,0.494955,0.00432187
13000,0.495127,0.00468233
14000,0.495319,0.00622165
15000,0.495453,0.00710553
16000,0.495434,0.0077823
17000,0.495856,0.00907579
18000,0.496087,0.010007
19000,0.496202,0.0100813
20000,0.496317,0.0107983
21000,0.496432,0.0116113
22000,0.496489,0.011911
23000,0.496605,0.0127978
24000,0.496835,0.0128787
25000,0.496835,0.0134551
26000,0.496835,0.0135722
27000,0.496835,0.0137464
28000,0.497122,0.0145796
29000,0.497122,0.0146249
