sensitivity,compressionRatio,pfError
0,0.5,0
0.01,0.5,0
0.02,0.5,0
0.03,0.5,0
0.04,0.5,0
0.05,0.5,0
0.06,0.5,0
0.07,0.5,0
0.08,0.5,0
0.09,0.5,0
0.1,0.5,0
0.11,0.5,0
0.12,0.5,0
0.13,0.5,0
0.14,0.5,0
0.15,0.5,0
0.16,0.5,0
0.17,0.5,0
0.18,0.5,0
0.19,0.5,0
0.2,0.5,0
0.21,0.5,0
0.22,0.5,0
0.23,0.5,0
0.24,0.5,0
0.25,0.5,0
0.26,0.5,0
0.27,0.5,0
0.28,0.5,0
0.29,0.5,0
0.3,0.5,0
0.31,0.5,0
0.32,0.5,0
0.33,0.5,0
0.34,0.5,0
0.35,0.5,0
0.36,0.5,0
0.37,0.5,0
0.38,0.5,0
0.39,0.5,0
0.4,0.5,0
0.41,0.5,0
0.42,0.5,0
0.43,0.5,0
0.44,0.5,0
0.45,0.5,0
0.46,0.5,0
0.47,0.5,0
0.48,0.5,0
0.49,0.5,0
0,0.873589,0
0.01,0.873589,0
0.02,0.873589,0
0.03,0.873589,0
0.04,0.873589,0
0.05,0.873589,0
0.06,0.873589,0
0.07,0.873589,0
0.08,0.873589,0
0.09,0.873589,0
0.1,0.873589,0
0.11,0.873589,0
0.12,0.873589,0
0.13,0.873589,0
0.14,0.873589,0
0.15,0.873589,0
0.16,0.873589,0
0.17,0.873589,0
0.18,0.873589,0
0.19,0.873589,0
0.2,0.873589,0
0.21,0.873589,0
0.22,0.873589,0
0.23,0.873589,0
0.24,0.873589,0
0.25,0.873589,0
0.26,0.873589,0
0.27,0.873589,0
0.28,0.873589,0
0.29,0.873589,0
0.3,0.873589,0
0.31,0.873589,0
0.32,0.873589,0
0.33,0.873589,0
0.34,0.873589,0
0.35,0.873589,0
0.36,0.873589,0
0.37,0.873589,0
0.38,0.873589,0
0.39,0.873589,0
0.4,0.873589,0
0.41,0.873589,0
0.42,0.873589,0
0.43,0.873589,0
0.44,0.873589,0
0.45,0.873589,0
0.46,0.873589,0
0.47,0.873589,0
0.48,0.873589,0
0.49,0.873589,0
0,0.773643,2.69892e-09
0.01,0.782577,0.00410355
0.02,0.782884,0.00626096
0.03,0.782952,0.00945566
0.04,0.783089,0.0114802
0.05,0.783123,0.0102899
0.06,0.783157,0.0259289
0.07,0.783157,0.0226717
0.08,0.783157,0.0223404
0.09,0.783157,0.0421894
0.1,0.783191,0.0504198
0.11,0.783191,0.0504198
0.12,0.783191,0.0504198
0.13,0.783191,0.0514227
0.14,0.783191,0.0507277
0.15,0.783191,0.0499443
0.16,0.783191,0.0493006
0.17,0.783191,0.0520039
0.18,0.783191,0.0544283
0.19,0.783225,0.0888219
0.2,0.783225,0.0888219
0.21,0.783225,0.0888219
0.22,0.783225,0.0888219
0.23,0.783225,0.0888219
0.24,0.783225,0.0888219
0.25,0.783225,0.0888219
0.26,0.783225,0.0888219
0.27,0.783225,0.0888219
0.28,0.783225,0.0888219
0.29,0.783225,0.0888219
0.3,0.783225,0.0888219
0.31,0.783225,0.0888219
0.32,0.783225,0.0888219
0.33,0.783225,0.0888219
0.34,0.783225,0.0888219
0.35,0.783225,0.0888219
0.36,0.783225,0.0888219
0.37,0.783225,0.0888219
0.38,0.783225,0.0888219
0.39,0.783225,0.0888219
0.4,0.783225,0.0888219
0.41,0.783225,0.0888219
0.42,0.783225,0.0888219
0.43,0.783225,0.0888219
0.44,0.783225,0.0888219
0.45,0.783225,0.0888219
0.46,0.783225,0.0888219
0.47,0.783225,0.0888219
0.48,0.783225,0.0888219
0.49,0.783225,0.0888219
