sensitivity,compressionRatio,pfError
0,0.500213,0
0.01,0.500213,0
0.02,0.500213,0
0.03,0.500213,0
0.04,0.500213,0
0.05,0.500213,0
0.06,0.500213,0
0.07,0.500213,0
0.08,0.500213,0
0.09,0.500213,0
0.1,0.500213,0
0.11,0.500213,0
0.12,0.500213,0
0.13,0.500213,0
0.14,0.500213,0
0.15,0.500213,0
0.16,0.500213,0
0.17,0.500213,0
0.18,0.500213,0
0.19,0.500213,0
0.2,0.500213,0
0.21,0.500213,0
0.22,0.500213,0
0.23,0.500213,0
0.24,0.500213,0
0.25,0.500213,0
0.26,0.500213,0
0.27,0.500213,0
0.28,0.500213,0
0.29,0.500213,0
0.3,0.500213,0
0.31,0.500213,0
0.32,0.500213,0
0.33,0.500213,0
0.34,0.500213,0
0.35,0.500213,0
0.36,0.500213,0
0.37,0.500213,0
0.38,0.500213,0
0.39,0.500213,0
0.4,0.500213,0
0.41,0.500213,0
0.42,0.500213,0
0.43,0.500213,0
0.44,0.500213,0
0.45,0.500213,0
0.46,0.500213,0
0.47,0.500213,0
0.48,0.500213,0
0.49,0.500213,0
0,0.874583,0
0.01,0.874583,0
0.02,0.874583,0
0.03,0.874583,0
0.04,0.874583,0
0.05,0.874583,0
0.06,0.874583,0
0.07,0.874583,0
0.08,0.874583,0
0.09,0.874583,0
0.1,0.874583,0
0.11,0.874583,0
0.12,0.874583,0
0.13,0.874583,0
0.14,0.874583,0
0.15,0.874583,0
0.16,0.874583,0
0.17,0.874583,0
0.18,0.874583,0
0.19,0.874583,0
0.2,0.874583,0
0.21,0.874583,0
0.22,0.874583,0
0.23,0.874583,0
0.24,0.874583,0
0.25,0.874583,0
0.26,0.874583,0
0.27,0.874583,0
0.28,0.874583,0
0.29,0.874583,0
0.3,0.874583,0
0.31,0.874583,0
0.32,0.874583,0
0.33,0.874583,0
0.34,0.874583,0
0.35,0.874583,0
0.36,0.874583,0
0.37,0.874583,0
0.38,0.874583,0
0.39,0.874583,0
0.4,0.874583,0
0.41,0.874583,0
0.42,0.874583,0
0.43,0.874583,0
0.44,0.874583,0
0.45,0.874583,0
0.46,0.874583,0
0.47,0.874583,0
0.48,0.874583,0
0.49,0.874583,0
0,0.773185,1.95367e-10
0.01,0.782778,0.00290572
0.02,0.783987,0.00633361
0.03,0.784068,0.00957153
0.04,0.784229,0.0147247
0.05,0.78439,0.0166225
0.06,0.78439,0.0166225
0.07,0.78439,0.0166225
0.08,0.78439,0.0166225
0.09,0.78439,0.0166225
0.1,0.78439,0.0166225
0.11,0.78439,0.0166225
0.12,0.78439,0.0166225
0.13,0.78439,0.0166225
0.14,0.78439,0.0166225
0.15,0.78439,0.0166225
0.16,0.78439,0.0166225
0.17,0.78439,0.0166225
0.18,0.78439,0.0166225
0.19,0.78439,0.0166225
0.2,0.78439,0.0166225
0.21,0.78439,0.0166225
0.22,0.78439,0.0166225
0.23,0.78439,0.0166225
0.24,0.78439,0.0166225
0.25,0.78439,0.0166225
0.26,0.78439,0.0166225
0.27,0.78439,0.0166225
0.28,0.78439,0.0166225
0.29,0.78439,0.0166225
0.3,0.78439,0.0166225
0.31,0.78439,0.0166225
0.32,0.78439,0.0166225
0.33,0.78439,0.0166225
0.34,0.78439,0.0166225
0.35,0.78439,0.0166225
0.36,0.78439,0.0166225
0.37,0.78439,0.0166225
0.38,0.78439,0.0166225
0.39,0.78439,0.0166225
0.4,0.78439,0.0166225
0.41,0.78439,0.0166225
0.42,0.78439,0.0166225
0.43,0.78439,0.0166225
0.44,0.78439,0.0166225
0.45,0.78439,0.0166225
0.46,0.78439,0.0166225
0.47,0.78439,0.0166225
0.48,0.78439,0.0166225
0.49,0.78439,0.0166225
