0	-0.113886
1	-0.0298879
2	0.122642
3	-0.11682
4	0.0861925
5	-0.332573
6	-0.144863
7	-0.294848
8	0.0888449
9	0.119165
10	0.147905
11	-0.337275
12	-0.304613
13	-0.142357
14	-0.244569
15	-0.54957
16	-0.250548
17	-0.548244
18	-0.095566
19	0.113134
20	-0.337668
21	-0.309241
22	-0.192822
23	-0.335241
24	0.0610655
25	-0.168439
26	-0.450713
27	-0.470363
28	-0.162421
29	-0.779311
30	-0.14191
31	0.111417
32	-0.280579
33	-0.0312218
34	-0.664808
35	-0.856573
36	-0.238948
37	-0.209876
38	-0.352169
39	0.198593
40	-0.374391
41	0.185426
42	-0.179829
43	-0.565913
44	-0.216848
45	0.122842
46	-0.0781273
47	-0.0239235
48	-0.304181
49	-0.296876
50	-0.259684
51	0.00918633
52	-0.100969
53	0.186494
54	-0.58262
55	-0.0673063
56	-0.646275
57	-0.550013
58	-0.441194
59	-0.0370079
60	-0.578118
61	-0.00694132
62	-0.101288
63	-0.550048
64	-0.266378
65	-0.146907
66	0.105133
67	0.213467
68	-0.440906
69	-0.785904
70	-0.963881
71	-0.235729
72	-0.475743
73	-0.873616
74	-0.368713
75	-0.13695
76	-0.972152
77	-0.964208
78	-0.575206
79	-0.988563
80	-0.958645
81	-0.956657
82	-0.67724
83	-0.962002
84	-0.970396
85	-0.83398
86	-0.972514
87	-0.963681
88	-0.975416
89	-0.65578
90	-0.934985
91	-0.787116
92	-0.880446
93	-0.932346
94	-0.823684
95	-0.706635
96	-0.834276
97	-0.939353
98	-0.722011
99	-0.951519
